id,dataset,ts,time,order_type,order_side,price,qty
244,Ag(T+D)@sg,1522415960000,2018-03-30 21:19:20.000000,LIMIT,ASK,3596.0,10
245,Ag(T+D)@sg,1522415970000,2018-03-30 21:19:30.000000,LIMIT,ASK,3596.0,10
246,Ag(T+D)@sg,1522415980000,2018-03-30 21:19:40.000000,LIMIT,ASK,3596.0,10
247,Ag(T+D)@sg,1522415990000,2018-03-30 21:19:50.000000,LIMIT,ASK,3596.0,10
248,Ag(T+D)@sg,1522416000000,2018-03-30 21:20:00.000000,LIMIT,ASK,3596.0,10
249,Ag(T+D)@sg,1522416010000,2018-03-30 21:20:10.000000,LIMIT,ASK,3596.0,10
250,Ag(T+D)@sg,1522416020000,2018-03-30 21:20:20.000000,LIMIT,ASK,3596.0,10
251,Ag(T+D)@sg,1522416030000,2018-03-30 21:20:30.000000,LIMIT,ASK,3595.0,10
252,Ag(T+D)@sg,1522416040000,2018-03-30 21:20:40.000000,LIMIT,ASK,3595.0,10
253,Ag(T+D)@sg,1522416050000,2018-03-30 21:20:50.000000,LIMIT,ASK,3595.0,10
254,Ag(T+D)@sg,1522416060000,2018-03-30 21:21:00.000000,LIMIT,ASK,3595.0,10
255,Ag(T+D)@sg,1522416070000,2018-03-30 21:21:10.000000,LIMIT,ASK,3595.0,10
256,Ag(T+D)@sg,1522416080000,2018-03-30 21:21:20.000000,LIMIT,ASK,3595.0,10
257,Ag(T+D)@sg,1522416090000,2018-03-30 21:21:30.000000,LIMIT,ASK,3595.0,10
258,Ag(T+D)@sg,1522416100000,2018-03-30 21:21:40.000000,LIMIT,ASK,3595.0,10
259,Ag(T+D)@sg,1522416110000,2018-03-30 21:21:50.000000,LIMIT,ASK,3595.0,10
260,Ag(T+D)@sg,1522416120000,2018-03-30 21:22:00.000000,LIMIT,ASK,3595.0,10
261,Ag(T+D)@sg,1522416130000,2018-03-30 21:22:10.000000,LIMIT,ASK,3595.0,10
